match_id,role,raw_name,mapped_name,canonical_athlete_id,sex,weight_class,year
7904,loser,Rodrigo Cavaca,Rodrigo Cavaca,athlete_rodrigo-cavaca-m,M,+99KG,2015
13852,winner,Jared Dopp,Jared Dopp,athlete_jared-dopp-m,M,+99KG,2017
13852,loser,Vinicius Magalhaes,Vinicius Magalhaes,athlete_vinicius-magalhaes-m,M,+99KG,2017
13934,winner,Mahamed Aly,Mahamed Aly,athlete_mahamed-aly-m,M,ABS,2017
13934,loser,Dillon Danis,Dillon Danis,athlete_dillon-danis-m,M,ABS,2017
21909,winner,Mahamed Aly,Mahamed Aly,athlete_mahamed-aly-m,M,ABS,2019
21909,loser,Tim Spriggs,Tim Spriggs,athlete_tim-spriggs-m,M,ABS,2019
13893,winner,Mansher Khera,Mansher Khera,athlete_mansher-khera-m,M,77KG,2017
13893,loser,Sergio Ardila-Ibarra,Sergio Ardila-Ibarra,athlete_sergio-ardilaibarra-m,M,77KG,2017
1160,winner,Dean Lister,Dean Lister,athlete_dean-lister-m,M,ABS,2005
1160,loser,Jean Jacques Machado,Jean Jacques Machado,athlete_jean-jacques-machado-m,M,ABS,2005
13861,winner,Abdurakhman Bilarov,Abdurakhman Bilarov,athlete_abdurakhman-bilarov-m,M,99KG,2017
13861,loser,Jake Shields,Jake Shields,athlete_jake-shields-m,M,99KG,2017
4991,winner,AJ Agazarm,AJ Agazarm,athlete_aj-agazarm-m,M,77KG,2013
4991,loser,DeAlonzio Jackson,DeAlonzio Jackson,athlete_dealonzio-jackson-m,M,77KG,2013
13919,winner,AJ Agazarm,AJ Agazarm,athlete_aj-agazarm-m,M,66KG,2017
13919,loser,Ethan Crelinsten,Ethan Crelinsten,athlete_ethan-crelinsten-m,M,66KG,2017
13921,winner,AJ Agazarm,AJ Agazarm,athlete_aj-agazarm-m,M,66KG,2017
13921,loser,Pablo Mantovani,Pablo Mantovani,athlete_pablo-mantovani-m,M,66KG,2017
1715,winner,Alexandre Ribeiro,Alexandre Ribeiro,athlete_alexandre-ribeiro-m,M,99KG,2007
1715,loser,Braulio Estima,Braulio Estima,athlete_braulio-estima-m,M,99KG,2007
2280,winner,Alexandre Ribeiro,Alexandre Ribeiro,athlete_alexandre-ribeiro-m,M,99KG,2009
2280,loser,Vinicius Magalhaes,Vinicius Magalhaes,athlete_vinicius-magalhaes-m,M,99KG,2009
