match_id,role,raw_name,canonical_athlete_id
21910,winner,Gordon Ryan,athlete_gordon-ryan-m
21910,loser,Gary Tonon,athlete_gary-tonon-m
21915,winner,Gordon Ryan,athlete_gordon-ryan-m
21915,loser,Marcus Almeida,athlete_marcus-almeida-m
35070,winner,Gordon Ryan,athlete_gordon-ryan-m
35070,loser,Roosevelt Sousa,athlete_roosevelt-sousa-m
35072,winner,Gordon Ryan,athlete_gordon-ryan-m
35072,loser,Nick Rodriguez,athlete_nick-rodriguez-m
2229,winner,Justin Rader,athlete_justin-rader-m
2229,loser,Baret Yoshida,athlete_baret-yoshida-m
4989,winner,Justin Rader,athlete_justin-rader-m
4989,loser,Joao Miyao,athlete_joao-miyao-m
5006,winner,Keenan Cornelius,athlete_keenan-cornelius-m
5006,loser,Clark Gracie,athlete_clark-gracie-m
5020,winner,Keenan Cornelius,athlete_keenan-cornelius-m
5020,loser,Pablo Popovitch,athlete_pablo-popovitch-m
5064,winner,Keenan Cornelius,athlete_keenan-cornelius-m
5064,loser,Dean Lister,athlete_dean-lister-m
7933,winner,Keenan Cornelius,athlete_keenan-cornelius-m
7933,loser,Claudio Calasans,athlete_claudio-calasans-m
13888,winner,Keenan Cornelius,athlete_keenan-cornelius-m
13888,loser,Craig Jones,athlete_craig-jones-m
3265,winner,Kron Gracie,athlete_kron-gracie-m
3265,loser,Murilo Santana,athlete_murilo-santana-m
3291,winner,Kron Gracie,athlete_kron-gracie-m
3291,loser,Claudio Calasans,athlete_claudio-calasans-m
5002,winner,Kron Gracie,athlete_kron-gracie-m
5002,loser,Gary Tonon,athlete_gary-tonon-m
7951,winner,Lucas Lepri,athlete_lucas-lepri-m
7951,loser,Gary Tonon,athlete_gary-tonon-m
13900,winner,Lucas Lepri,athlete_lucas-lepri-m
13900,loser,Mansher Khera,athlete_mansher-khera-m
21854,winner,Lucas Lepri,athlete_lucas-lepri-m
21854,loser,Lachlan Giles,athlete_lachlan-giles-m
